,Unnamed: 0,CODIGO,PLACA,MODELO,MARCA
0,0,1,YNU-2233,,
1,1,2,NYH-0213,CAMINHAO VOLKSWAGEN 24.280,VOLKSWAGEN 24280
2,2,4,VWU-3245,CAMINHÃO VOLKSWAGENS 24.250,VOLKSWAGEN 24.250
3,3,5,UXB-7609,CAMINHÃO VOLKSWAGEN 24.250,VOLKSWAGEN 24.250
4,4,6,IGM-1705,CAMINHÃO VOLKSWAGEN 24.250,VOLKSWAGEN 24.250
5,5,7,ATT-6248,CAMINHÃO VOLKSWAGEN 24.250,VOLKSWAGEN 24.250
6,6,10,GLE-1360,CAMINHÃO VOLKSWAGEN,VOLKSWAGEN
7,7,13,NNL-7032,CAMINHÃO VOLKSWAGEN 24.280,VOLKSWAGEN  24.280
8,8,14,IZY-8653,SR GUERRA,SR GUERRA
9,9,15,WEL-4423,CAMINHÃO VOLKSWAGEN 24.250,VOLKSWAGEN 24.250
10,10,18,HSO-9443,CAMINHÃO TRATOR,VOLKSWAGEN
11,11,19,PBE-4579,CAMINHÃO TRATOR SCANIA,SCANIA
12,12,21,COZ-1896,CAR. SEMI REBOQUE SCANIA RANDON,SCANIA RANDON SRCA
13,13,22,ICS-8249,SCANIA R440  A 6X2,SCANIA R440
14,14,23,BCZ-2608,CAMINHÃO TRATOR SCANIA P 340,SCANIA P 340
15,15,24,NZW-6386,SEMI REBOQUE GUERRA,GUERRA AG GR
16,16,25,QJZ-2927,CAMINHÃO SCANIA,SCANIA
17,17,26,YKW-3452,CAMINHÃO TRATOR MERCEDES BENZ,MERCEDES BENZ
18,18,27,CSN-2769,SEMI REBOQUE LIBRELATTO SRCS 3E,LOIBRELATTO SRCS 3E
19,19,28,QJR-0372,CAMINHÃO TRATOR SCANIA R124,SCANIA R124
20,20,29,DOE-5028,SEMI REBOQUE GUERRA,GUERRA
21,21,30,SCT-6456,CAMINHÃO VOLKSWAGEN 24.250,VOLKSWAGEN 24.250
22,22,31,CTY-2146,SCANIA G400,SCANIA G400
23,23,32,PKX-8680,SEMI REBOQUE FACCHINI,FACCHINI
24,24,33,GUL-1196,SCANIA G380,SCANIA G380
25,25,34,TIG-8116,SEMI REBOQUE RANDON,RANDON
